;marca;preco
68;Cadeira Gamer Mymax Mx0, Suporta Até 120kg, Giratória, Preto E Branco;R$ 381,65
69;Cadeira Gamer Corsair T1 Race, Até 120kg, Apoio de Braços 4D, com Almofadas, Reclinável, Preto e Azul - CF-9010014-WW;R$ 1.999,99
70;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Branco;R$ 466,65
71;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Almofadas, Reclinável, Cilindro Classe 4, Cinza e Branco - CF-9010048-WW;R$ 1.899,99
72;Cadeira Gamer Mymax Mx9, Até 150Kg, Giratória, Preto/Azul;R$ 636,65
73;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Branco - 76421;R$ 1.149,99
74;Cadeira Gamer Husky Gaming Storm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BR;R$ 729,99
75;Cadeira Gamer Alpha Gamer Nimbus,  Até 125 kg, Apoio de Braço 4D, Reclinável, Preto e Cinza- AGNIMBUSBK;R$ 1.199,99
76;Cadeira Gamer Noblechairs Hero, Black - NBL-HRO-PU-BLA;R$ 2.479,99
77;Cadeira Gamer Husky Gaming Snow, Preto e Vermelho, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BR;R$ 659,99
78;Cadeira Gamer, Prizi, Runner - Amarela;R$ 338,89
79;Cadeira Gamer Husky Gaming Storm, Preto e Verde, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BG;R$ 869,99
80;Cadeira Gamer Mymax MX7, Suportado até 150Kg, Giratória, Preto e Rosa;R$ 679,15
81;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 2D, Preto - XTS190;R$ 1.499,99
82;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Vermelho - Mgch-mx0/rd;R$ 381,65
83;Cadeira Gamer Profissional Reclinavel Dragon War Ergonomica - Gc015 Preto Led;R$ 663,81
84;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 659,99
85;Cadeira Gamer Raven X-10, Até 150Kg, com Almofadas, Descanso de Braço 4D, Reclinável, Trava de Inclinação, Preto e Vermelho - CDRVX10PV;R$ 714,99
86;Cadeira Gamer DT3 Grigio, Até 130Kg, Com Almofadas, Reclinável, Descanso de Braço 1D,  Cinza e Preto - 13373-7;R$ 1.149,99
87;Cadeira Gamer TC3 ThunderX3, Encosto Reclinável, Braço 2D, 125Kg, Preto/Branco - 72994;R$ 1.049,99
88;Cadeira Gamer Fortrek Vickers, Até 120Kg, com Almofadas, Preto - 7051;R$ 739,99
89;Cadeira Gamer Racer X Comfort, 100Kg, Preta;R$ 803,65
90;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cinza e Branco - CF-9010030-WW;R$ 1.929,99
91;Cadeira Gamer Husky Gaming Avalanche, Rosa e Branco, Com Almofadas, Reclinável, Descanso de Braço 3D - HAV-PW;R$ 919,99
92;Cadeira Gamer DT3 Elise, Até 130 Kg, com Almofadas, Reclinável, Preto e Azul - 13437-8;R$ 1.129,99
93;Cadeira Gamer ThunderX3 TGC12, Até 120kg, Com Almofadas, Descanso de Braço 2D, Preto e Azul;R$ 1.144,99
94;Cadeira Gamer Mymax Mx9, 150kg, Com Almofadas, Braços com Regulagem 2D, Giratória, Cilindro de Gás Classe 2 - 80mm, Preto e Vermelho;R$ 636,65
95;Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Verde - AGKAPPA-BK-GRN;R$ 759,99
96;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - XTS150;R$ 949,99
97;Cadeira Gamer Mymax MX12, Até 150 Kg, Giratória, Preto e Azul;R$ 806,65
